timestamp,tagger,tagged
13:00:20,marudhu,loki
13:00:23,nitin,nikki
13:00:26,shru,loki
13:00:29,nitin,nikki
13:00:34,nikki,shru
13:00:39,marudhu,loki
13:00:39,nikki,shru
13:00:45,loki,nikki
13:00:45,nitin,shru
13:00:50,shru,loki
13:00:51,nikki,marudhu
13:00:53,nitin,loki
13:00:58,loki,shru
13:00:59,loki,nikki
13:01:04,loki,marudhu
13:01:05,nikki,shru
13:01:11,shru,nikki
13:01:13,marudhu,loki
13:01:13,nitin,shru
13:01:18,shru,loki
13:01:24,marudhu,shru
13:01:24,loki,marudhu
13:01:29,nitin,nikki
13:01:31,nitin,shru
13:01:36,nikki,nitin
13:01:38,loki,marudhu
13:01:38,shru,nikki
13:01:39,loki,shru
13:01:43,loki,nikki
13:01:44,nitin,shru
13:01:48,loki,marudhu
13:01:49,nikki,nitin
13:01:53,marudhu,shru
13:01:54,nitin,nikki
13:01:55,nitin,loki
13:01:58,marudhu,nitin
13:02:00,nikki,marudhu
13:02:03,shru,loki
13:02:06,nitin,marudhu
13:02:07,nikki,nitin
13:02:11,marudhu,nikki
13:02:12,nitin,loki
13:02:12,nitin,shru
13:02:18,loki,nikki
13:02:18,loki,shru
13:02:19,marudhu,nitin
13:02:19,nitin,loki
13:02:24,nikki,loki
13:02:24,nitin,nikki
13:02:26,shru,marudhu
13:02:30,nikki,nitin
13:02:31,nikki,shru
13:02:33,loki,nikki
13:02:36,marudhu,loki
13:02:38,nikki,nitin
13:02:42,nikki,loki
13:02:44,marudhu,shru
13:02:47,loki,nitin
13:02:47,nikki,marudhu
13:02:50,nikki,shru
13:02:53,nikki,loki
13:02:53,marudhu,nikki
13:02:57,marudhu,nitin
13:03:01,marudhu,nikki
13:03:02,marudhu,loki
13:03:03,shru,marudhu
13:03:07,nikki,shru
13:03:09,nikki,loki
13:03:09,nitin,nikki
13:03:15,marudhu,nikki
13:03:15,loki,nitin
13:03:15,nitin,loki
13:03:20,marudhu,shru
13:03:23,marudhu,nikki
13:03:25,marudhu,nitin
13:03:28,nikki,marudhu
13:03:31,shru,marudhu
13:03:33,shru,nikki
13:03:35,nitin,shru
13:03:41,nitin,shru
13:03:45,marudhu,nikki
13:03:47,nitin,shru
13:03:49,nitin,marudhu
13:03:51,nitin,nikki
13:03:55,nitin,marudhu
13:03:57,nikki,nitin
13:04:00,marudhu,nikki
13:04:04,marudhu,nitin
13:04:07,nikki,shru
13:04:13,nikki,shru
13:04:14,nitin,loki
13:04:20,loki,shru
13:04:22,nitin,loki
13:04:26,marudhu,nitin
13:04:27,nikki,shru
13:04:31,nikki,marudhu
13:04:31,nitin,nikki
13:04:33,nitin,shru
13:04:36,nikki,loki
13:04:41,marudhu,nitin
13:04:41,marudhu,shru
13:04:41,nikki,marudhu
13:04:43,nikki,loki
13:04:48,nikki,nitin
13:04:50,nikki,shru
13:04:52,loki,marudhu
13:04:53,nitin,nikki
13:04:56,nitin,shru
13:04:58,nikki,nitin
13:05:00,nikki,loki
13:05:05,marudhu,nitin
13:05:06,nikki,marudhu
13:05:10,nitin,nikki
13:05:11,shru,nitin
13:05:13,nitin,loki
13:05:15,nikki,marudhu
13:05:16,nitin,nikki
13:05:21,nikki,shru
13:05:31,loki,nitin
13:05:32,loki,nikki
13:05:37,nikki,loki
13:05:43,loki,shru
13:05:45,nitin,marudhu
13:05:45,nikki,nitin
13:05:50,nitin,nikki
13:05:51,marudhu,nitin
13:05:52,loki,marudhu
13:05:53,shru,loki
13:05:56,nitin,nikki
13:05:57,shru,marudhu
13:05:58,nitin,shru
13:06:00,nitin,shru
13:06:03,nikki,marudhu
13:06:04,nikki,loki
13:06:07,nikki,shru
13:06:12,nikki,loki
13:06:12,nitin,marudhu
13:06:15,nikki,shru
13:06:18,nitin,loki
13:06:22,nikki,shru
13:06:23,nikki,loki
13:06:27,shru,marudhu
13:06:28,shru,loki
13:06:33,marudhu,shru
13:06:35,loki,nikki
13:06:38,shru,nitin
13:06:39,marudhu,loki
13:06:39,shru,marudhu
13:06:43,nitin,shru
13:06:44,nikki,loki
13:06:45,nitin,marudhu
13:06:48,nikki,shru
13:06:49,nitin,nikki
13:06:52,marudhu,loki
13:06:55,nitin,shru
13:06:57,nikki,loki
13:07:00,nikki,shru
13:07:01,nitin,nikki
